n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups
10,1.0,long,high,46,M1 optimized,2,10.0,0.004019021987915039,0.00714111328125,,5
10,1.0,long,high,46,M2 optimized,2,10.0,0.001127004623413086,0.0024352073669433594,,5
10,1.0,long,high,46,M3 optimized,2,10.0,0.0012178421020507812,0.0022420883178710938,,5
10,1.2,short,low,42,M1 optimized,2,8.0,0.006237983703613281,0.009708881378173828,,4
10,1.2,short,low,42,M2 optimized,2,8.0,0.001817941665649414,0.003367900848388672,,4
10,1.2,short,low,42,M3 optimized,2,8.0,0.001928091049194336,0.0034601688385009766,,4
10,1.2,short,low,43,M1 optimized,2,10.0,0.011133909225463867,0.01530599594116211,,5
10,1.2,short,low,43,M2 optimized,2,10.0,0.004230976104736328,0.005650758743286133,,5
10,1.2,short,low,43,M3 optimized,2,10.0,0.0018239021301269531,0.003427743911743164,,5
10,1.2,short,low,44,M1 optimized,2,8.0,0.00834512710571289,0.011420965194702148,,4
10,1.2,short,low,44,M2 optimized,2,8.0,0.0015690326690673828,0.003072023391723633,,4
10,1.2,short,low,44,M3 optimized,2,8.0,0.0013489723205566406,0.002725839614868164,,4
10,1.2,short,low,45,M1 optimized,2,8.0,0.005303144454956055,0.008646965026855469,,4
10,1.2,short,low,45,M2 optimized,2,8.0,0.0012929439544677734,0.002641916275024414,,4
10,1.2,short,low,45,M3 optimized,2,8.0,0.0020918846130371094,0.003520965576171875,,4
10,1.2,short,low,46,M1 optimized,2,8.0,0.011026859283447266,0.014781951904296875,,4
10,1.2,short,low,46,M2 optimized,2,8.0,0.004397153854370117,0.005941152572631836,,4
10,1.2,short,low,46,M3 optimized,2,8.0,0.00593113899230957,0.007439136505126953,,4
10,1.2,short,high,42,M1 optimized,2,10.0,0.007222175598144531,0.010967016220092773,,5
10,1.2,short,high,42,M2 optimized,2,10.0,0.0016880035400390625,0.003414630889892578,,5
10,1.2,short,high,42,M3 optimized,2,10.0,0.001608133316040039,0.0028841495513916016,,5
10,1.2,short,high,43,M1 optimized,2,16.0,0.0026280879974365234,0.006079912185668945,,8
10,1.2,short,high,43,M2 optimized,2,16.0,0.0017139911651611328,0.0030736923217773438,,8
10,1.2,short,high,43,M3 optimized,2,16.0,0.0005772113800048828,0.0013499259948730469,,8
10,1.2,short,high,44,M1 optimized,2,12.0,0.011378049850463867,0.014846086502075195,,6
10,1.2,short,high,44,M2 optimized,2,12.0,0.005095005035400391,0.007995128631591797,,6
10,1.2,short,high,44,M3 optimized,2,12.0,0.0006539821624755859,0.0016150474548339844,,6
10,1.2,short,high,45,M1 optimized,2,8.0,0.0058820247650146484,0.009224176406860352,,4
10,1.2,short,high,45,M2 optimized,2,8.0,0.00139617919921875,0.002769947052001953,,4
10,1.2,short,high,45,M3 optimized,2,8.0,0.001497030258178711,0.0029659271240234375,,4
10,1.2,short,high,46,M1 optimized,2,10.0,0.004992961883544922,0.008217096328735352,,5
10,1.2,short,high,46,M2 optimized,2,10.0,0.0015709400177001953,0.0031156539916992188,,5
10,1.2,short,high,46,M3 optimized,2,10.0,0.001249074935913086,0.0023670196533203125,,5
10,1.2,long,low,42,M1 optimized,2,8.0,0.005896091461181641,0.009032964706420898,,4
10,1.2,long,low,42,M2 optimized,2,8.0,0.0015139579772949219,0.002969980239868164,,4
10,1.2,long,low,42,M3 optimized,2,8.0,0.0012929439544677734,0.0026159286499023438,,4
10,1.2,long,low,43,M1 optimized,2,10.0,0.013966798782348633,0.017454147338867188,,5
10,1.2,long,low,43,M2 optimized,2,10.0,0.003604888916015625,0.0049991607666015625,,5
10,1.2,long,low,43,M3 optimized,2,10.0,0.0012278556823730469,0.0026378631591796875,,5
10,1.2,long,low,44,M1 optimized,2,8.0,0.005285024642944336,0.008347749710083008,,4
10,1.2,long,low,44,M2 optimized,2,8.0,0.0016551017761230469,0.0031630992889404297,,4
10,1.2,long,low,44,M3 optimized,2,8.0,0.001748800277709961,0.0032377243041992188,,4
10,1.2,long,low,45,M1 optimized,2,8.0,0.014475107192993164,0.05235600471496582,,4
10,1.2,long,low,45,M2 optimized,2,8.0,0.0015261173248291016,0.0035860538482666016,,4
10,1.2,long,low,45,M3 optimized,2,8.0,0.0015790462493896484,0.002936840057373047,,4
10,1.2,long,low,46,M1 optimized,2,8.0,0.007114887237548828,0.010752201080322266,,4
10,1.2,long,low,46,M2 optimized,2,8.0,0.0014271736145019531,0.004060983657836914,,4
10,1.2,long,low,46,M3 optimized,2,8.0,0.0017299652099609375,0.0032722949981689453,,4
10,1.2,long,high,42,M1 optimized,2,10.0,0.006601095199584961,0.009826898574829102,,5
10,1.2,long,high,42,M2 optimized,2,10.0,0.0016298294067382812,0.003120899200439453,,5
10,1.2,long,high,42,M3 optimized,2,10.0,0.0017218589782714844,0.002904176712036133,,5
10,1.2,long,high,43,M1 optimized,2,16.0,0.0031731128692626953,0.0070438385009765625,,8
10,1.2,long,high,43,M2 optimized,2,16.0,0.0032088756561279297,0.0057468414306640625,,8
10,1.2,long,high,43,M3 optimized,2,16.0,0.0006430149078369141,0.0014729499816894531,,8
10,1.2,long,high,44,M1 optimized,2,12.0,0.008571147918701172,0.011893033981323242,,6
10,1.2,long,high,44,M2 optimized,2,12.0,0.0054700374603271484,0.0069501399993896484,,6
10,1.2,long,high,44,M3 optimized,2,12.0,0.0006968975067138672,0.001703023910522461,,6
10,1.2,long,high,45,M1 optimized,2,10.0,0.007904052734375,0.011635780334472656,,5
10,1.2,long,high,45,M2 optimized,2,10.0,0.0015349388122558594,0.003191709518432617,,5
10,1.2,long,high,45,M3 optimized,2,10.0,0.0010960102081298828,0.0023391246795654297,,5
10,1.2,long,high,46,M1 optimized,2,10.0,0.003795146942138672,0.006922006607055664,,5
10,1.2,long,high,46,M2 optimized,2,10.0,0.001466989517211914,0.002866029739379883,,5
10,1.2,long,high,46,M3 optimized,2,10.0,0.0011069774627685547,0.002177000045776367,,5
15,1.0,short,low,42,M1 optimized,2,12.0,0.2060401439666748,0.21407008171081543,,6
15,1.0,short,low,42,M2 optimized,2,12.0,0.1368870735168457,0.14006614685058594,,6
15,1.0,short,low,42,M3 optimized,2,12.0,0.005919933319091797,0.009182929992675781,,6
15,1.0,short,low,43,M1 optimized,2,12.0,0.06342887878417969,0.07079195976257324,,6
15,1.0,short,low,43,M2 optimized,2,12.0,0.0615689754486084,0.06481289863586426,,6
15,1.0,short,low,43,M3 optimized,2,12.0,0.017223119735717773,0.020399808883666992,,6
15,1.0,short,low,44,M1 optimized,2,12.0,0.018651962280273438,0.02730083465576172,,6
15,1.0,short,low,44,M2 optimized,2,12.0,0.00304412841796875,0.006162166595458984,,6
