T_size,class,instance_id,seed,n_jobs,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
10,II,0,1001042,30,M3 Opt,2,22.0,0.03156900405883789,0.040091753005981445,11,11,310,728
10,II,1,1001043,28,M1 Opt,2,20.0,0.054563045501708984,0.07102012634277344,10,10,844,1337
10,II,1,1001043,28,M2 Opt,2,20.0,0.034976959228515625,0.05025792121887207,10,10,625,1301
10,II,1,1001043,28,M3 Opt,2,20.0,0.012567996978759766,0.01931023597717285,10,10,262,631
10,II,2,1001044,28,M1 Opt,2,24.0,0.04400205612182617,0.06075096130371094,12,12,858,1365
10,II,2,1001044,28,M2 Opt,2,24.0,0.03235006332397461,0.0461277961730957,12,12,632,1301
10,II,2,1001044,28,M3 Opt,2,24.0,0.011188983917236328,0.016064882278442383,12,12,221,529
10,III,0,1002042,36,M1 Opt,2,28.0,0.07805204391479492,0.09925508499145508,14,14,1242,1889
10,III,0,1002042,36,M2 Opt,2,28.0,0.05762910842895508,0.0831148624420166,14,14,954,2105
10,III,0,1002042,36,M3 Opt,2,28.0,0.021120071411132812,0.03126406669616699,14,14,417,984
10,III,1,1002043,35,M1 Opt,2,22.0,0.4178628921508789,0.43732142448425293,11,11,1198,1835
10,III,1,1002043,35,M2 Opt,2,22.0,0.11552810668945312,0.15030717849731445,11,11,914,1994
10,III,1,1002043,35,M3 Opt,2,22.0,0.07851791381835938,0.09523296356201172,11,11,540,1273
10,III,2,1002044,33,M1 Opt,2,26.0,0.15140104293823242,0.17119574546813965,13,13,1103,1710
10,III,2,1002044,33,M2 Opt,2,26.0,0.12482690811157227,0.1479320526123047,13,13,832,1781
10,III,2,1002044,33,M3 Opt,2,26.0,0.056684017181396484,0.06594300270080566,13,13,326,760
10,IV,0,1003042,41,M1 Opt,2,30.0,6.109375953674316,6.138236045837402,15,15,1537,2294
10,IV,0,1003042,41,M2 Opt,2,30.0,7.02351188659668,7.061690807342529,15,15,1199,2705
10,IV,0,1003042,41,M3 Opt,2,30.0,0.2593839168548584,0.27619504928588867,15,15,545,1274
10,IV,1,1003043,44,M1 Opt,2,36.0,1.818331003189087,1.852720022201538,18,18,1706,2509
10,IV,1,1003043,44,M2 Opt,2,36.0,0.9017069339752197,0.9464120864868164,18,18,1348,3101
10,IV,1,1003043,44,M3 Opt,2,36.0,0.13901519775390625,0.1557772159576416,18,18,556,1285
10,IV,2,1003044,44,M1 Opt,2,42.0,0.22478008270263672,0.25722479820251465,21,21,1706,2509
10,IV,2,1003044,44,M2 Opt,2,42.0,0.12671399116516113,0.1687028408050537,21,21,1348,3101
10,IV,2,1003044,44,M3 Opt,2,42.0,0.040264129638671875,0.0549778938293457,21,21,572,1333
10,V,0,1004042,52,M1 Opt,2,32.0,1.2079670429229736,1.2479267120361328,16,16,2222,3169
10,V,0,1004042,52,M2 Opt,2,32.0,0.45173001289367676,0.5130021572113037,16,16,1800,4289
10,V,0,1004042,52,M3 Opt,2,32.0,0.17119717597961426,0.19947600364685059,16,16,929,2065
10,V,1,1004043,50,M1 Opt,2,44.0,1.3350419998168945,1.3724970817565918,22,22,2101,3026
10,V,1,1004043,50,M2 Opt,2,44.0,2.4916629791259766,2.5480451583862305,22,22,1688,3974
10,V,1,1004043,50,M3 Opt,2,44.0,0.07612109184265137,0.09497404098510742,22,22,618,1418
10,V,2,1004044,50,M1 Opt,2,42.0,0.21010589599609375,0.2513411045074463,21,21,2093,3010
10,V,2,1004044,50,M2 Opt,2,42.0,0.33025503158569336,0.3964879512786865,21,21,1684,3974
10,V,2,1004044,50,M3 Opt,2,42.0,0.10132312774658203,0.12135195732116699,21,21,686,1581
10,VI,0,1005042,86,M1 Opt,2,39.99999967068025,4.277483940124512,4.368508815765381,20,20,4947,6324
10,VI,0,1005042,86,M2 Opt,2,40.0,4.1133551597595215,4.290148973464966,20,20,4344,11480
10,VI,0,1005042,86,M3 Opt,2,40.0,0.47856807708740234,0.555413007736206,20,20,2660,5671
10,VI,1,1005043,80,M1 Opt,2,38.0,5.9418089389801025,6.019030570983887,19,19,4374,5667
10,VI,1,1005043,80,M2 Opt,2,38.0,6.726973056793213,6.870443105697632,19,19,3807,9959
10,VI,1,1005043,80,M3 Opt,2,38.0,5.050194025039673,5.118505001068115,19,19,2377,5095
10,VI,2,1005044,77,M1 Opt,2,42.0,4.183210134506226,4.260260105133057,21,21,4097,5344
10,VI,2,1005044,77,M2 Opt,2,42.0,3.9986729621887207,4.125488042831421,21,21,3550,9239
10,VI,2,1005044,77,M3 Opt,2,42.0,1.3939449787139893,1.4528687000274658,21,21,2150,4611
10,VII,0,1006042,52,M1 Opt,2,36.0,0.7435259819030762,0.7845971584320068,18,18,2218,3161
10,VII,0,1006042,52,M2 Opt,2,36.0,0.4188041687011719,0.47667694091796875,18,18,1798,4289
10,VII,0,1006042,52,M3 Opt,2,36.0,0.12142610549926758,0.1470930576324463,18,18,896,2060
10,VII,1,1006043,51,M1 Opt,2,40.0,0.34025001525878906,0.3783700466156006,20,20,2148,3071
10,VII,1,1006043,51,M2 Opt,2,40.0,0.2970139980316162,0.35845088958740234,20,20,1737,4130
10,VII,1,1006043,51,M3 Opt,2,40.0,0.06619691848754883,0.08580827713012695,20,20,754,1710
10,VII,2,1006044,49,M1 Opt,2,30.0,7.210971832275391,7.247105121612549,15,15,2035,2942
10,VII,2,1006044,49,M2 Opt,2,30.0,1.8169898986816406,1.8739039897918701,15,15,1630,3821
10,VII,2,1006044,49,M3 Opt,2,30.0,0.3548429012298584,0.3800990581512451,15,15,847,1914
10,VIII,0,1007042,57,M1 Opt,2,41.0,1.981813907623291,2.028254985809326,20,21,2474,3455
10,VIII,0,1007042,57,M2 Opt,2,41.0,2.341948986053467,2.4189460277557373,20,21,2040,5129
10,VIII,0,1007042,57,M3 Opt,2,41.0,0.27062392234802246,0.3011472225189209,20,21,1097,2399
10,VIII,1,1007043,58,M1 Opt,2,49.0,0.32934117317199707,0.38804125785827637,24,25,2455,3408
10,VIII,1,1007043,58,M2 Opt,2,49.0,0.5570621490478516,0.6355829238891602,24,25,2036,5306
10,VIII,1,1007043,58,M3 Opt,2,49.0,0.2816920280456543,0.30812501907348633,24,25,967,2081
10,VIII,2,1007044,64,M1 Opt,2,44.0,71.40160512924194,71.45549583435059,21,23,2845,3888
10,VIII,2,1007044,64,M2 Opt,9,44.0,900.0108151435852,900.1060481071472,21,23,2387,6431
10,VIII,2,1007044,64,M3 Opt,2,44.0,6.361959934234619,6.392773866653442,21,23,1286,2702
10,IX,0,1008042,93,M1 Opt,2,44.0,12.274909019470215,12.38442611694336,22,22,5741,7296
10,IX,0,1008042,93,M2 Opt,2,44.0,26.7444748878479,26.96218705177307,22,22,5056,13391
10,IX,0,1008042,93,M3 Opt,2,44.0,36.95811200141907,37.045934200286865,22,22,3088,6577
10,IX,1,1008043,86,M1 Opt,2,46.0,5.270021200180054,5.363086223602295,23,23,4864,6167
10,IX,1,1008043,86,M2 Opt,2,46.0,4.707190990447998,4.8848137855529785,23,23,4298,11480
10,IX,1,1008043,86,M3 Opt,2,46.0,3.4939889907836914,3.5615530014038086,23,23,2648,5599
10,IX,2,1008044,92,M1 Opt,2,52.0,150.15758109092712,150.27090311050415,25,27,5556,7017
10,IX,2,1008044,92,M2 Opt,9,52.0,900.0164239406586,900.2444281578064,25,27,4917,13109
10,IX,2,1008044,92,M3 Opt,9,52.0,900.0485861301422,900.1273038387299,25,27,2863,6054
10,X,0,1009042,71,M1 Opt,2,55.0,0.9615790843963623,1.0249059200286865,27,28,3496,4633
10,X,0,1009042,71,M2 Opt,2,55.0,2.082227945327759,2.3143527507781982,27,28,2998,7880
10,X,0,1009042,71,M3 Opt,2,55.0,0.2068181037902832,0.25185108184814453,27,28,1560,3328
10,X,1,1009043,65,M1 Opt,2,50.0,0.57607102394104,0.6308281421661377,25,25,3059,4154
